Price,Close,High,Low,Open,Volume
Ticker,HAVELLS.NS,HAVELLS.NS,HAVELLS.NS,HAVELLS.NS,HAVELLS.NS
Date,,,,,
2025-11-27,1430.2254638671875,1439.596824878451,1422.7483335440654,1438.5998741687013,578302
2025-11-28,1437.5032958984375,1441.0922942217035,1420.6548040580612,1431.6212621946497,574515
2025-12-01,1430.9234619140625,1447.6721615158071,1426.8358664755638,1444.5816385266241,418134
2025-12-02,1418.1624755859375,1432.9173957159105,1413.7758678420462,1430.9234941685138,529711
2025-12-03,1416.2681884765625,1421.7514175139333,1405.7005350350653,1420.5551253122874,501288
2025-12-04,1429.12890625,1431.2224784943548,1411.6822680502269,1411.6822680502269,360610
2025-12-05,1432.1197509765625,1434.4127863785593,1415.6700636176254,1426.7361925922016,440018
2025-12-08,1403.0087890625,1432.6181766011177,1395.830670899927,1427.6334230290888,642925
2025-12-09,1415.470703125,1418.4615553318863,1386.7584732596556,1391.7432269377996,730475
2025-12-10,1385.661865234375,1419.4585198397187,1375.7920285162709,1415.470716858512,806272
2025-12-11,1398.123779296875,1401.712777716702,1380.9761530940034,1388.7524177520384,707388
2025-12-12,1405.3017578125,1408.7910854497961,1395.9303963898585,1398.3231025379082,430872
2025-12-15,1407.9935302734375,1411.5825284741727,1394.1358911252391,1405.7004949712011,732814
2025-12-16,1407.6944580078125,1420.6548177486777,1401.513412041405,1405.700556509218,298684
2025-12-17,1392.740234375,1406.8968867180427,1386.060712853584,1405.9997283779217,348931
2025-12-18,1396.9273681640625,1407.5948144060287,1384.9639589418816,1390.7463220785057,223572
2025-12-19,1412.57958984375,1414.5734914112622,1394.7341464748956,1396.8277187811648,705789
2025-12-22,1426.8358154296875,1443.0861607725433,1412.7788346799139,1419.6578189568925,479639
2025-12-23,1422.4493408203125,1432.219384890739,1418.660879392174,1428.6303866261317,274659
2025-12-24,1420.056640625,1432.0200493552895,1415.7697038174115,1421.6517374494213,661762
2025-12-26,1413.87548828125,1431.421918632602,1410.7849653323487,1425.6395556716218,217465
